secid,date,low,high,open,close
108105,19960102,613.17,620.74,615.93,620.73
108105,19960103,619.56,623.25,620.73,621.32
108105,19960104,613.96,624.49,621.32,617.7
108105,19960105,612.02,617.7,617.7,616.71
108105,19960108,616.49,618.46,616.71,618.46
108105,19960109,608.21,619.15,618.46,609.45
108105,19960110,597.29,609.45,609.45,598.48
108105,19960111,597.54,602.71,598.48,602.69
108105,19960112,597.46,604.8,602.69,601.81
108105,19960115,598.47,603.43,601.81,599.82
108105,19960116,599.05,608.44,599.82,608.44
108105,19960117,604.7,609.93,608.44,606.37
108105,19960118,604.12,608.27,606.37,608.24
108105,19960119,606.76,612.92,608.24,611.83
108105,19960122,610.95,613.45,611.83,613.4
108105,19960123,610.65,613.4,613.4,612.79
108105,19960124,612.79,619.96,612.79,619.96
108105,19960125,616.62,620.15,619.96,617.03
108105,19960126,615.26,621.7,617.03,621.62
108105,19960129,621.42,624.22,621.62,624.22
108105,19960130,624.22,630.29,624.22,630.15
108105,19960131,629.48,636.18,630.15,636.02
108105,19960201,634.54,638.46,636.02,638.46
108105,19960202,634.29,639.26,638.46,635.84
108105,19960205,633.71,641.43,635.84,641.43
108105,19960206,639.68,646.67,641.43,646.33
108105,19960207,645.59,649.93,646.33,649.93
108105,19960208,647.93,656.54,649.93,656.07
108105,19960209,653.64,661.08,656.07,656.37
108105,19960212,656.34,662.95,656.37,661.45
108105,19960213,657.92,664.23,661.45,660.51
108105,19960214,654.36,661.53,660.51,655.58
108105,19960215,651.15,656.84,655.58,651.32
108105,19960216,646.99,651.42,651.32,647.98
108105,19960220,638.79,647.98,647.98,640.65
108105,19960221,640.65,648.11,640.65,648.1
108105,19960222,648.1,659.75,648.1,658.86
108105,19960223,652.25,663,658.86,659.08
108105,19960226,650.16,659.08,659.08,650.46
108105,19960227,643.87,650.62,650.46,647.24
108105,19960228,643.99,654.39,647.24,644.75
108105,19960229,639.01,646.95,644.75,640.43
108105,19960301,635,644.38,640.43,644.37
108105,19960304,644.37,653.54,644.37,650.81
108105,19960305,648.77,655.8,650.81,655.79
108105,19960306,651.61,656.97,655.79,652
108105,19960307,649.54,653.65,652,653.65
108105,19960308,627.63,653.65,653.65,633.5
108105,19960311,629.95,640.41,633.5,640.02
108105,19960312,628.82,640.02,640.02,637.09
108105,19960313,635.19,640.52,637.09,638.55
108105,19960314,638.55,644.17,638.55,640.87
108105,19960315,638.35,642.87,640.87,641.43
108105,19960318,641.43,652.65,641.43,652.65
108105,19960319,649.8,656.18,652.65,651.69
108105,19960320,645.57,653.13,651.69,649.98
108105,19960321,648.1,651.54,649.98,649.19
108105,19960322,649.19,652.08,649.19,650.62
108105,19960325,648.82,655.5,650.62,650.04
108105,19960326,648.15,654.31,650.04,652.97
108105,19960327,647.6,653.94,652.97,648.91
108105,19960328,646.36,649.58,648.91,648.94
108105,19960329,644.89,650.96,648.94,645.5
108105,19960401,645.5,653.87,645.5,653.73
108105,19960402,652.81,655.27,653.73,655.26
108105,19960403,651.81,655.89,655.26,655.88
108105,19960404,654.89,656.68,655.88,655.86
108105,19960408,638.04,655.86,655.86,644.24
108105,19960409,640.84,646.33,644.24,642.19
108105,19960410,631.76,642.78,642.19,633.5
108105,19960411,624.14,635.26,633.5,631.18
108105,19960412,631.18,637.14,631.18,636.71
108105,19960415,636.71,642.49,636.71,642.49
108105,19960416,642.15,645.57,642.49,645
108105,19960417,638.71,645,645,641.61
108105,19960418,640.76,644.66,641.61,643.61
108105,19960419,643.61,647.32,643.61,645.07
108105,19960422,645.07,650.91,645.07,647.89
108105,19960423,647.7,651.59,647.89,651.58
108105,19960424,648.25,653.37,651.58,650.17
108105,19960425,647.06,654.18,650.17,652.87
108105,19960426,651.96,656.43,652.87,653.46
108105,19960429,651.6,654.71,653.46,654.16
108105,19960430,651.05,654.59,654.16,654.17
108105,19960501,652.26,656.44,654.17,654.58
108105,19960502,642.13,654.58,654.58,643.38
108105,19960503,640.23,648.45,643.38,641.63
108105,19960506,636.19,644.64,641.63,640.81
108105,19960507,636.96,641.4,640.81,638.26
108105,19960508,630.07,644.79,638.26,644.77
108105,19960509,643.18,647.95,644.77,645.44
108105,19960510,645.44,653,645.44,652.09
108105,19960513,652.09,662.16,652.09,661.51
108105,19960514,661.51,666.96,661.51,665.6
108105,19960515,664.46,669.82,665.6,665.42
108105,19960516,662.79,667.11,665.42,664.85
108105,19960517,664.85,669.84,664.85,668.91
108105,19960520,667.64,673.66,668.91,673.15
108105,19960521,672.26,675.56,673.15,672.76
108105,19960522,671.23,678.42,672.76,678.42
